last_name,first_name,title,office_number,email,phone_number
Ginny,Ubsdell,Professor,T1 102,gubsdelle6@topsy.com,465-654-8330
Alan,Vasilmanov,Adjunct Professor,T2 112,avasilmanove7@techcrunch.com,345-372-2427
Mae,O'Sesnane,Assistant Professor,T2 113,mosesnanee8@gravatar.com,628-769-7420
Vally,Koppes,Professor Assistant,T1 203,vkoppese9@miibeian.gov.cn,563-397-7670
Farrel,De Cleyne,Professor Assistant,T1 203,fdecleyneea@mayoclinic.com,174-296-7863
Hillie,Humby,Professor Assistant,T1 203,hhumbyeb@booking.com,913-250-2535
Teresa,Bogey,Professor Assistant,T1 203,tbogeyec@army.mil,299-919-7028
Rogerio,Edgson,Adjunct Professor,T2 115,redgsoned@google.ca,408-323-7177
Grant,Widdup,Assistant Professor,T2 116,gwiddupee@who.int,505-129-8979
Tully,Bamfield,Professor Assistant,T1 203,tbamfieldef@walmart.com,143-949-7759
